order_date_jkt,price_sold_at,order_quantity
2021-10-26,564100,1
2021-10-26,564100,1
2021-10-27,564100,6
2021-10-27,564100,6
2021-10-27,564100,6
2021-10-27,564100,6
2021-10-27,564100,6
2021-10-27,564100,6
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,2
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,3
2021-10-27,564100,3
2021-10-27,564100,3
2021-10-27,564100,3
2021-10-27,564100,3
2021-10-27,564100,3
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,10
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,5
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,564100,1
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-27,561700,4
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,1
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-28,561700,2
2021-10-29,561700,2
2021-10-29,561700,2
2021-10-29,561700,2
2021-10-29,561700,2
2021-10-29,561700,2
2021-10-29,561700,2
2021-10-29,561700,2
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-29,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,10
2021-10-30,561700,10
2021-10-30,561700,10
2021-10-30,561700,10
2021-10-30,561700,10
2021-10-30,561700,10
2021-10-30,561700,10
2021-10-30,561700,20
2021-10-30,561700,20
2021-10-30,561700,20
2021-10-30,561700,20
2021-10-30,561700,20
2021-10-30,561700,20
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,3
2021-10-30,561700,3
2021-10-30,561700,3
2021-10-30,561700,3
2021-10-30,561700,3
2021-10-30,561700,3
2021-10-30,561700,3
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,2
2021-10-30,561700,2
2021-10-30,561700,2
2021-10-30,561700,2
2021-10-30,561700,2
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-30,561700,1
2021-10-31,561700,5
2021-10-31,561700,5
2021-10-31,561700,5
2021-10-31,561700,5
2021-10-31,561700,5
2021-10-31,561700,5
2021-10-31,561700,5
2021-10-31,561700,3
2021-10-31,561700,3
2021-10-31,561700,3
2021-10-31,561700,3
2021-10-31,561700,3
2021-10-31,561700,3
2021-10-31,561700,3
2021-10-31,561700,6
2021-10-31,561700,6
2021-10-31,561700,6
2021-10-31,561700,6
2021-10-31,561700,6
2021-10-31,561700,6
2021-10-31,561700,6
2021-10-31,561700,2
2021-10-31,561700,2
2021-10-31,561700,2
