order_date_jkt,price_sold_at,order_quantity
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,2
2021-10-26,561500,2
2021-10-26,561500,2
2021-10-26,561500,2
2021-10-26,561500,2
2021-10-26,561500,2
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-26,561500,1
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
2021-10-27,561500,6
